2010-03-02 11:40:52: 失败
2010-03-02 11:40:56: 失败
2010-03-02 11:49:19: fail to execute sql!You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1;query string = insert a
2010-03-02 11:53:01: fail to execute sql!No tables used;query string = select *
2010-03-02 16:40:16: fail to execute sql!Unknown column '互联网门户网站、在线游戏' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (4,1,10.76,互联网门户网站、在线游戏 ,1) ON DUPLICATE KEY update fh_id=4 and pm=1 and sr=10.76 and industry=互联网门户网站、在线游戏  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '基础设施、房地产、市场与分销' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (5,2,9.34,基础设施、房地产、市场与分销 ,1) ON DUPLICATE KEY update fh_id=5 and pm=2 and sr=9.34 and industry=基础设施、房地产、市场与分销  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (6,3,8,房地产 ,1) ON DUPLICATE KEY update fh_id=6 and pm=3 and sr=8 and industry=房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '汽车配件、金融' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (7,4,6.87,汽车配件、金融 ,1) ON DUPLICATE KEY update fh_id=7 and pm=4 and sr=6.87 and industry=汽车配件、金融  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '饲料、金融、房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (8,5,5.5,饲料、金融、房地产 ,1) ON DUPLICATE KEY update fh_id=8 and pm=5 and sr=5.5 and industry=饲料、金融、房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '在线游戏' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (9,6,4.9,在线游戏 ,1) ON DUPLICATE KEY update fh_id=9 and pm=6 and sr=4.9 and industry=在线游戏  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '饲料、铝业' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (10,7,4.8,饲料、铝业 ,1) ON DUPLICATE KEY update fh_id=10 and pm=7 and sr=4.8 and industry=饲料、铝业  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (11,8,4.21,房地产 ,1) ON DUPLICATE KEY update fh_id=11 and pm=8 and sr=4.21 and industry=房地产  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、药品、零售、钢铁' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (12,9,3.74,房地产、药品、零售、钢铁 ,1) ON DUPLICATE KEY update fh_id=12 and pm=9 and sr=3.74 and industry=房地产、药品、零售、钢铁  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '房地产、紫檀博物馆' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (13,10,3.61,房地产、紫檀博物馆 ,1) ON DUPLICATE KEY update fh_id=13 and pm=10 and sr=3.61 and industry=房地产、紫檀博物馆  and bd_id=1
2010-03-02 16:40:16: fail to execute sql!Unknown column '建材、暖气设备、足球俱乐部' in 'field list';query string = insert into fb_fhbd (fh_id,pm,sr,sbly,bd_id) values (14,11,3.6,建材、暖气设备、足球俱乐部 ,1) ON DUPLICATE KEY update fh_id=14 and pm=11 and sr=3.6 and industry=建材、暖气设备、足球俱乐部  and bd_id=1
